0x0000000001943F20 => 0x0000000000B1E340   (0x00)   VM_OP_Abort_Handler
0x0000000001943F28 => 0x0000000000B1E350   (0x01)   VM_OP_Nop_Handler
0x0000000001943F30 => 0x0000000000B1E360   (0x02)   VM_OP_Breakpoint_Handler
0x0000000001943F38 => 0x0000000000B1E370   (0x03)   VM_OP_AutoBreakpoint_Handler
0x0000000001943F40 => 0x0000000000B1E380   (0x04)   VM_OP_ErrorBreakpoint_Handler
0x0000000001943F48 => 0x0000000000B1E390   (0x05)   VM_OP_WatchBreakpoint_Handler
0x0000000001943F50 => 0x0000000000B1E3A0   (0x06)   VM_OP_NotifyBreakpoint_Handler
0x0000000001943F58 => 0x0000000000B1E3B0   (0x07)   VM_OP_ThreadEndBreakpoint_Handler
0x0000000001943F60 => 0x0000000000B1E3C0   (0x08)   VM_OP_EvalLocalVariableCachedDebug_Handler
0x0000000001943F68 => 0x0000000000B1E450   (0x09)   VM_OP_EvalLocalVariableRefCachedDebug_Handler
0x0000000001943F70 => 0x0000000000B1E520   (0x0A)   VM_OP_PushVar_Handler
0x0000000001943F78 => 0x0000000000B1E530   (0x0B)   VM_OP_PushEntityVar_Handler
0x0000000001943F80 => 0x0000000000B1D790   (0x0C)   VM_OP_ClearParams_Handler
0x0000000001943F88 => 0x0000000000B1D7E0   (0x0D)   VM_OP_CheckClearParams_Handler
0x0000000001943F90 => 0x0000000000B1BC00   (0x0E)   VM_OP_PreScriptCall_Handler
0x0000000001943F98 => 0x0000000000B1BC20   (0x0F)   VM_OP_CallBuiltin_Handler
0x0000000001943FA0 => 0x0000000000B1BDA0   (0x10)   VM_OP_End_Handler
0x0000000001943FA8 => 0x0000000000B1A100   (0x11)   VM_OP_Dec_Handler
0x0000000001943FB0 => 0x0000000000B1EFA0   (0x12)   VM_OP_ClearArray_Handler
0x0000000001943FB8 => 0x0000000000B23310   (0x13)   VM_OP_WaitTillFrameEnd_Handler
0x0000000001943FC0 => 0x0000000000B1E6F0   (0x14)   VM_OP_GetSelf_Handler
0x0000000001943FC8 => 0x0000000000B1A340   (0x15)   VM_OP_Bit_Xor_Handler
0x0000000001943FD0 => 0x0000000000B39B20   (0x16)   VM_OP_InvalidOpcode_Handler
0x0000000001943FD8 => 0x0000000000B1A690   (0x17)   VM_OP_Minus_Handler
0x0000000001943FE0 => 0x0000000000B39B20   (0x18)   VM_OP_InvalidOpcode_Handler
0x0000000001943FE8 => 0x0000000000B1E7D0   (0x19)   VM_OP_GetLevel_Handler
0x0000000001943FF0 => 0x0000000000B39B20   (0x1A)   VM_OP_InvalidOpcode_Handler
0x0000000001943FF8 => 0x0000000000B1ABC0   (0x1B)   VM_OP_VectorScale_Handler
0x0000000001944000 => 0x0000000000B39B20   (0x1C)   VM_OP_InvalidOpcode_Handler
0x0000000001944008 => 0x0000000000B1FFE0   (0x1D)   VM_OP_NextArrayKey_Handler
0x0000000001944010 => 0x0000000000B1A860   (0x1E)   VM_OP_GetNegByte_Handler
0x0000000001944018 => 0x0000000000B39B20   (0x1F)   VM_OP_InvalidOpcode_Handler
0x0000000001944020 => 0x0000000000B39B20   (0x20)   VM_OP_InvalidOpcode_Handler
0x0000000001944028 => 0x0000000000B39B20   (0x21)   VM_OP_InvalidOpcode_Handler
0x0000000001944030 => 0x0000000000B1B0E0   (0x22)   VM_OP_DevblockBegin_Handler
0x0000000001944038 => 0x0000000000B1A8C0   (0x23)   VM_OP_GetNegUnsignedShort_Handler
0x0000000001944040 => 0x0000000000B39B20   (0x24)   VM_OP_InvalidOpcode_Handler
0x0000000001944048 => 0x0000000000B1E6F0   (0x25)   VM_OP_GetSelf_Handler
0x0000000001944050 => 0x0000000000B1F760   (0x26)   VM_OP_EvalSelfFieldVariableRef_Handler
0x0000000001944058 => 0x0000000000B1D040   (0x27)   VM_OP_ScriptThreadCallClass_Handler
0x0000000001944060 => 0x0000000000B1FC70   (0x28)   VM_OP_IsDefined_Handler
0x0000000001944068 => 0x0000000000B1A690   (0x29)   VM_OP_Minus_Handler
0x0000000001944070 => 0x0000000000B23EC0   (0x2A)   VM_OP_Notify_Handler
0x0000000001944078 => 0x0000000000B1B020   (0x2B)   VM_OP_JumpOnFalseExpr_Handler
0x0000000001944080 => 0x0000000000B39B20   (0x2C)   VM_OP_InvalidOpcode_Handler
0x0000000001944088 => 0x0000000000B1EFA0   (0x2D)   VM_OP_ClearArray_Handler
0x0000000001944090 => 0x0000000000B1E900   (0x2E)   VM_OP_GetFunction_Handler
0x0000000001944098 => 0x0000000000B1A7F0   (0x2F)   VM_OP_GetUndefined_Handler
0x00000000019440A0 => 0x0000000000B1E8E0   (0x30)   VM_OP_GetGameRef_Handler
0x00000000019440A8 => 0x0000000000B1A5E0   (0x31)   VM_OP_ShiftLeft_Handler
0x00000000019440B0 => 0x0000000000B1B020   (0x32)   VM_OP_JumpOnFalseExpr_Handler
0x00000000019440B8 => 0x0000000000B1C0C0   (0x33)   VM_OP_ScriptFunctionCall_Handler
0x00000000019440C0 => 0x0000000000B39B20   (0x34)   VM_OP_InvalidOpcode_Handler
0x00000000019440C8 => 0x0000000000B39B20   (0x35)   VM_OP_InvalidOpcode_Handler
0x00000000019440D0 => 0x0000000000B39B20   (0x36)   VM_OP_InvalidOpcode_Handler
0x00000000019440D8 => 0x0000000000B39B20   (0x37)   VM_OP_InvalidOpcode_Handler
0x00000000019440E0 => 0x0000000000B39B20   (0x38)   VM_OP_InvalidOpcode_Handler
0x00000000019440E8 => 0x0000000000B39B20   (0x39)   VM_OP_InvalidOpcode_Handler
0x00000000019440F0 => 0x0000000000B39B20   (0x3A)   VM_OP_InvalidOpcode_Handler
0x00000000019440F8 => 0x0000000000B1E780   (0x3B)   VM_OP_GetClasses_Handler
0x0000000001944100 => 0x0000000000B1E690   (0x3C)   VM_OP_GetClassesObject_Handler
0x0000000001944108 => 0x0000000000B1A8C0   (0x3D)   VM_OP_GetNegUnsignedShort_Handler
0x0000000001944110 => 0x0000000000B1F3F0   (0x3E)   VM_OP_SetVariableField_Handler
0x0000000001944118 => 0x0000000000B1FC70   (0x3F)   VM_OP_IsDefined_Handler
0x0000000001944120 => 0x0000000000B23590   (0x40)   VM_OP_WaitTillMatch_Handler
0x0000000001944128 => 0x0000000000B39B20   (0x41)   VM_OP_InvalidOpcode_Handler
0x0000000001944130 => 0x0000000000B1A560   (0x42)   VM_OP_LessThanOrEqualTo_Handler
0x0000000001944138 => 0x0000000000B1E6F0   (0x43)   VM_OP_GetSelf_Handler
0x0000000001944140 => 0x0000000000B39B20   (0x44)   VM_OP_InvalidOpcode_Handler
0x0000000001944148 => 0x0000000000B1A380   (0x45)   VM_OP_Bit_And_Handler
0x0000000001944150 => 0x0000000000B1D290   (0x46)   VM_OP_ScriptMethodThreadCall_Handler
0x0000000001944158 => 0x0000000000B39B20   (0x47)   VM_OP_InvalidOpcode_Handler
0x0000000001944160 => 0x0000000000B1A660   (0x48)   VM_OP_Plus_Handler
0x0000000001944168 => 0x0000000000B39B20   (0x49)   VM_OP_InvalidOpcode_Handler
0x0000000001944170 => 0x0000000000B1E860   (0x4A)   VM_OP_GetAnim_Handler
0x0000000001944178 => 0x0000000000B1A3F0   (0x4B)   VM_OP_NotEqual_Handler
0x0000000001944180 => 0x0000000000B39B20   (0x4C)   VM_OP_InvalidOpcode_Handler
0x0000000001944188 => 0x0000000000B39B20   (0x4D)   VM_OP_InvalidOpcode_Handler
0x0000000001944190 => 0x0000000000B1A8F0   (0x4E)   VM_OP_GetUintptr_Handler
0x0000000001944198 => 0x0000000000B39B20   (0x4F)   VM_OP_InvalidOpcode_Handler
0x00000000019441A0 => 0x0000000000B1F190   (0x50)   VM_OP_EvalFieldVariableRef_Handler
0x00000000019441A8 => 0x0000000000B1A920   (0x51)   VM_OP_GetInteger_Handler
0x00000000019441B0 => 0x0000000000B1B0E0   (0x52)   VM_OP_DevblockBegin_Handler
0x00000000019441B8 => 0x0000000000B39B20   (0x53)   VM_OP_InvalidOpcode_Handler
0x00000000019441C0 => 0x0000000000B39B20   (0x54)   VM_OP_InvalidOpcode_Handler
0x00000000019441C8 => 0x0000000000B39B20   (0x55)   VM_OP_InvalidOpcode_Handler
0x00000000019441D0 => 0x0000000000B39B20   (0x56)   VM_OP_InvalidOpcode_Handler
0x00000000019441D8 => 0x0000000000B39B20   (0x57)   VM_OP_InvalidOpcode_Handler
0x00000000019441E0 => 0x0000000000B39B20   (0x58)   VM_OP_InvalidOpcode_Handler
0x00000000019441E8 => 0x0000000000B1A7F0   (0x59)   VM_OP_GetUndefined_Handler
0x00000000019441F0 => 0x0000000000B39B20   (0x5A)   VM_OP_InvalidOpcode_Handler
0x00000000019441F8 => 0x0000000000B1D040   (0x5B)   VM_OP_ScriptThreadCallClass_Handler
0x0000000001944200 => 0x0000000000B39B20   (0x5C)   VM_OP_InvalidOpcode_Handler
0x0000000001944208 => 0x0000000000B1A430   (0x5D)   VM_OP_SuperEqual_Handler
0x0000000001944210 => 0x0000000000B1A7E0   (0x5E)   VM_OP_BoolComplement_Handler
0x0000000001944218 => 0x0000000000B39B20   (0x5F)   VM_OP_InvalidOpcode_Handler
0x0000000001944220 => 0x0000000000B1A830   (0x60)   VM_OP_GetByte_Handler
0x0000000001944228 => 0x0000000000B1A860   (0x61)   VM_OP_GetNegByte_Handler
0x0000000001944230 => 0x0000000000B1E820   (0x62)   VM_OP_GetGame_Handler
0x0000000001944238 => 0x0000000000B39B20   (0x63)   VM_OP_InvalidOpcode_Handler
0x0000000001944240 => 0x0000000000B39B20   (0x64)   VM_OP_InvalidOpcode_Handler
0x0000000001944248 => 0x0000000000B1A690   (0x65)   VM_OP_Minus_Handler
0x0000000001944250 => 0x0000000000B1A300   (0x66)   VM_OP_Bit_Or_Handler
0x0000000001944258 => 0x0000000000B1A620   (0x67)   VM_OP_ShiftRight_Handler
0x0000000001944260 => 0x0000000000B1FB20   (0x68)   VM_OP_EvalLevelFieldVariable_Handler
0x0000000001944268 => 0x0000000000B1F560   (0x69)   VM_OP_New_Handler
0x0000000001944270 => 0x0000000000B39B20   (0x6A)   VM_OP_InvalidOpcode_Handler
0x0000000001944278 => 0x0000000000B39B20   (0x6B)   VM_OP_InvalidOpcode_Handler
0x0000000001944280 => 0x0000000000B1AF00   (0x6C)   VM_OP_JumpOnTrue_Handler
0x0000000001944288 => 0x0000000000B39B20   (0x6D)   VM_OP_InvalidOpcode_Handler
0x0000000001944290 => 0x0000000000B1A7F0   (0x6E)   VM_OP_GetUndefined_Handler
0x0000000001944298 => 0x0000000000B1AF00   (0x6F)   VM_OP_JumpOnTrue_Handler
0x00000000019442A0 => 0x0000000000B39B20   (0x70)   VM_OP_InvalidOpcode_Handler
0x00000000019442A8 => 0x0000000000B1A100   (0x71)   VM_OP_Dec_Handler
0x00000000019442B0 => 0x0000000000B1A810   (0x72)   VM_OP_GetZero_Handler
0x00000000019442B8 => 0x0000000000B39B20   (0x73)   VM_OP_InvalidOpcode_Handler
0x00000000019442C0 => 0x0000000000B1E900   (0x74)   VM_OP_GetFunction_Handler
0x00000000019442C8 => 0x0000000000B1A5A0   (0x75)   VM_OP_GreaterThanOrEqualTo_Handler
0x00000000019442D0 => 0x0000000000B1E6D0   (0x76)   VM_OP_GetAnimObject_Handler
0x00000000019442D8 => 0x0000000000B1A5E0   (0x77)   VM_OP_ShiftLeft_Handler
0x00000000019442E0 => 0x0000000000B1B020   (0x78)   VM_OP_JumpOnFalseExpr_Handler
0x00000000019442E8 => 0x0000000000B1E690   (0x79)   VM_OP_GetClassesObject_Handler
0x00000000019442F0 => 0x0000000000B1A660   (0x7A)   VM_OP_Plus_Handler
0x00000000019442F8 => 0x0000000000B39B20   (0x7B)   VM_OP_InvalidOpcode_Handler
0x0000000001944300 => 0x0000000000B1A7D0   (0x7C)   VM_OP_BoolNot_Handler
0x0000000001944308 => 0x0000000000B1A100   (0x7D)   VM_OP_Dec_Handler
0x0000000001944310 => 0x0000000000B23EB0   (0x7E)   VM_OP_WaitTill_Handler
0x0000000001944318 => 0x0000000000B1A660   (0x7F)   VM_OP_Plus_Handler
0x0000000001944320 => 0x0000000000B39B20   (0x80)   VM_OP_InvalidOpcode_Handler
0x0000000001944328 => 0x0000000000B1FB20   (0x81)   VM_OP_EvalLevelFieldVariable_Handler
0x0000000001944330 => 0x0000000000B1E8E0   (0x82)   VM_OP_GetGameRef_Handler
0x0000000001944338 => 0x0000000000B23310   (0x83)   VM_OP_WaitTillFrameEnd_Handler
0x0000000001944340 => 0x0000000000B1E7D0   (0x84)   VM_OP_GetLevel_Handler
0x0000000001944348 => 0x0000000000B1B0C0   (0x85)   VM_OP_Jump_Handler
0x0000000001944350 => 0x0000000000B1A8F0   (0x86)   VM_OP_GetUintptr_Handler
0x0000000001944358 => 0x0000000000B39B20   (0x87)   VM_OP_InvalidOpcode_Handler
0x0000000001944360 => 0x0000000000B1A3C0   (0x88)   VM_OP_Equal_Handler
0x0000000001944368 => 0x0000000000B1E860   (0x89)   VM_OP_GetAnim_Handler
0x0000000001944370 => 0x0000000000B23EB0   (0x8A)   VM_OP_WaitTill_Handler
0x0000000001944378 => 0x0000000000B1A7F0   (0x8B)   VM_OP_GetUndefined_Handler
0x0000000001944380 => 0x0000000000B1A5E0   (0x8C)   VM_OP_ShiftLeft_Handler
0x0000000001944388 => 0x0000000000B39B20   (0x8D)   VM_OP_InvalidOpcode_Handler
0x0000000001944390 => 0x0000000000B1F200   (0x8E)   VM_OP_EvalFieldVariableOnStackRef_Handler
0x0000000001944398 => 0x0000000000B1A5E0   (0x8F)   VM_OP_ShiftLeft_Handler
0x00000000019443A0 => 0x0000000000B39B20   (0x90)   VM_OP_InvalidOpcode_Handler
0x00000000019443A8 => 0x0000000000B39B20   (0x91)   VM_OP_InvalidOpcode_Handler
0x00000000019443B0 => 0x0000000000B39B20   (0x92)   VM_OP_InvalidOpcode_Handler
0x00000000019443B8 => 0x0000000000B1F200   (0x93)   VM_OP_EvalFieldVariableOnStackRef_Handler
0x00000000019443C0 => 0x0000000000B1A5E0   (0x94)   VM_OP_ShiftLeft_Handler
0x00000000019443C8 => 0x0000000000B19F00   (0x95)   VM_OP_Inc_Handler
0x00000000019443D0 => 0x0000000000B1CE00   (0x96)   VM_OP_ScriptThreadCallPointer_Handler
0x00000000019443D8 => 0x0000000000B1A690   (0x97)   VM_OP_Minus_Handler
0x00000000019443E0 => 0x0000000000B1E9B0   (0x98)   VM_OP_EvalArray_Handler
0x00000000019443E8 => 0x0000000000B39B20   (0x99)   VM_OP_InvalidOpcode_Handler
0x00000000019443F0 => 0x0000000000B1E7D0   (0x9A)   VM_OP_GetLevel_Handler
0x00000000019443F8 => 0x0000000000B23EC0   (0x9B)   VM_OP_Notify_Handler
0x0000000001944400 => 0x0000000000B23EC0   (0x9C)   VM_OP_Notify_Handler
0x0000000001944408 => 0x0000000000B1AA90   (0x9D)   VM_OP_Vector_Handler
0x0000000001944410 => 0x0000000000B1ABC0   (0x9E)   VM_OP_VectorScale_Handler
0x0000000001944418 => 0x0000000000B1E690   (0x9F)   VM_OP_GetClassesObject_Handler
0x0000000001944420 => 0x0000000000B1F2D0   (0xA0)   VM_OP_SafeSetWaittillVariableFieldCached_Handler
0x0000000001944428 => 0x0000000000B1F1D0   (0xA1)   VM_OP_EvalFieldVariableOnStack_Handler
0x0000000001944430 => 0x0000000000B39B20   (0xA2)   VM_OP_InvalidOpcode_Handler
