0x0000000001982D70 => 0x0000000000B76030   (0x00)   VM_OP_Abort_Handler
0x0000000001982D78 => 0x0000000000B76040   (0x01)   VM_OP_Nop_Handler
0x0000000001982D80 => 0x0000000000B76050   (0x02)   VM_OP_Breakpoint_Handler
0x0000000001982D88 => 0x0000000000B76060   (0x03)   VM_OP_AutoBreakpoint_Handler
0x0000000001982D90 => 0x0000000000B76070   (0x04)   VM_OP_ErrorBreakpoint_Handler
0x0000000001982D98 => 0x0000000000B76080   (0x05)   VM_OP_WatchBreakpoint_Handler
0x0000000001982DA0 => 0x0000000000B76090   (0x06)   VM_OP_NotifyBreakpoint_Handler
0x0000000001982DA8 => 0x0000000000B760A0   (0x07)   VM_OP_ThreadEndBreakpoint_Handler
0x0000000001982DB0 => 0x0000000000B760B0   (0x08)   VM_OP_EvalLocalVariableCachedDebug_Handler
0x0000000001982DB8 => 0x0000000000B76140   (0x09)   VM_OP_EvalLocalVariableRefCachedDebug_Handler
0x0000000001982DC0 => 0x0000000000B76210   (0x0A)   VM_OP_PushVar_Handler
0x0000000001982DC8 => 0x0000000000B76220   (0x0B)   VM_OP_PushEntityVar_Handler
0x0000000001982DD0 => 0x0000000000B753C0   (0x0C)   VM_OP_ClearParams_Handler
0x0000000001982DD8 => 0x0000000000B75410   (0x0D)   VM_OP_CheckClearParams_Handler
0x0000000001982DE0 => 0x0000000000B73810   (0x0E)   VM_OP_PreScriptCall_Handler
0x0000000001982DE8 => 0x0000000000B73830   (0x0F)   VM_OP_CallBuiltin_Handler
0x0000000001982DF0 => 0x0000000000B739A0   (0x10)   VM_OP_End_Handler
0x0000000001982DF8 => 0x0000000000B70280   (0x11)   VM_OP_Dec_Handler
0x0000000001982E00 => 0x0000000000B772D0   (0x12)   VM_OP_ClearArray_Handler
0x0000000001982E08 => 0x0000000000B7D190   (0x13)   VM_OP_WaitTillFrameEnd_Handler
0x0000000001982E10 => 0x0000000000B763E0   (0x14)   VM_OP_GetSelf_Handler
0x0000000001982E18 => 0x0000000000B70480   (0x15)   VM_OP_Bit_Xor_Handler
0x0000000001982E20 => 0x0000000000B8B500   (0x16)   VM_OP_InvalidOpcode_Handler
0x0000000001982E28 => 0x0000000000B71890   (0x17)   VM_OP_Minus_Handler
0x0000000001982E30 => 0x0000000000B8B500   (0x18)   VM_OP_InvalidOpcode_Handler
0x0000000001982E38 => 0x0000000000B764C0   (0x19)   VM_OP_GetLevel_Handler
0x0000000001982E40 => 0x0000000000B8B500   (0x1A)   VM_OP_InvalidOpcode_Handler
0x0000000001982E48 => 0x0000000000B726D0   (0x1B)   VM_OP_VectorScale_Handler
0x0000000001982E50 => 0x0000000000B8B500   (0x1C)   VM_OP_InvalidOpcode_Handler
0x0000000001982E58 => 0x0000000000B79080   (0x1D)   VM_OP_NextArrayKey_Handler
0x0000000001982E60 => 0x0000000000B72250   (0x1E)   VM_OP_GetNegByte_Handler
0x0000000001982E68 => 0x0000000000B8B500   (0x1F)   VM_OP_InvalidOpcode_Handler
0x0000000001982E70 => 0x0000000000B8B500   (0x20)   VM_OP_InvalidOpcode_Handler
0x0000000001982E78 => 0x0000000000B8B500   (0x21)   VM_OP_InvalidOpcode_Handler
0x0000000001982E80 => 0x0000000000B72E00   (0x22)   VM_OP_DevblockBegin_Handler
0x0000000001982E88 => 0x0000000000B722B0   (0x23)   VM_OP_GetNegUnsignedShort_Handler
0x0000000001982E90 => 0x0000000000B8B500   (0x24)   VM_OP_InvalidOpcode_Handler
0x0000000001982E98 => 0x0000000000B763E0   (0x25)   VM_OP_GetSelf_Handler
0x0000000001982EA0 => 0x0000000000B788A0   (0x26)   VM_OP_EvalSelfFieldVariableRef_Handler
0x0000000001982EA8 => 0x0000000000B74C70   (0x27)   VM_OP_ScriptThreadCallClass_Handler
0x0000000001982EB0 => 0x0000000000B78D80   (0x28)   VM_OP_IsDefined_Handler
0x0000000001982EB8 => 0x0000000000B71890   (0x29)   VM_OP_Minus_Handler
0x0000000001982EC0 => 0x0000000000B7DE60   (0x2A)   VM_OP_Notify_Handler
