0x000000000204A9C0 => 0x0000000000E89CA0   (0x00)   VM_OP_Abort_Handler
0x000000000204A9C8 => 0x0000000000E89CB0   (0x01)   VM_OP_Nop_Handler
0x000000000204A9D0 => 0x0000000000E89CC0   (0x02)   VM_OP_Breakpoint_Handler
0x000000000204A9D8 => 0x0000000000E89CD0   (0x03)   VM_OP_AutoBreakpoint_Handler
0x000000000204A9E0 => 0x0000000000E89CE0   (0x04)   VM_OP_ErrorBreakpoint_Handler
0x000000000204A9E8 => 0x0000000000E89CF0   (0x05)   VM_OP_WatchBreakpoint_Handler
0x000000000204A9F0 => 0x0000000000E89D00   (0x06)   VM_OP_NotifyBreakpoint_Handler
0x000000000204A9F8 => 0x0000000000E89D10   (0x07)   VM_OP_ThreadEndBreakpoint_Handler
0x000000000204AA00 => 0x0000000000E89D20   (0x08)   VM_OP_EvalLocalVariableCachedDebug_Handler
0x000000000204AA08 => 0x0000000000E89DD0   (0x09)   VM_OP_EvalLocalVariableRefCachedDebug_Handler
0x000000000204AA10 => 0x0000000000E89E60   (0x0A)   VM_OP_PushVar_Handler
0x000000000204AA18 => 0x0000000000E89E70   (0x0B)   VM_OP_PushEntityVar_Handler
0x000000000204AA20 => 0x0000000000E85780   (0x0C)   VM_OP_ClearParams_Handler
0x000000000204AA28 => 0x0000000000E85AE0   (0x0D)   VM_OP_CheckClearParams_Handler
0x000000000204AA30 => 0x0000000000E82320   (0x0E)   VM_OP_PreScriptCall_Handler
0x000000000204AA38 => 0x0000000000E82340   (0x0F)   VM_OP_CallBuiltin_Handler
0x000000000204AA40 => 0x0000000000E827A0   (0x10)   VM_OP_CallBuiltinMethod_Handler
0x000000000204AA48 => 0x0000000000E82BC0   (0x11)   VM_OP_End_Handler
0x000000000204AA50 => 0x0000000000E8E830   (0x12)   0000000000E8E830
0x000000000204AA58 => 0x0000000000E80080   (0x13)   VM_OP_GetUnsignedShort_Handler
0x000000000204AA60 => 0x0000000000EABFC0   (0x14)   VM_OP_InvalidOpcode_Handler
0x000000000204AA68 => 0x0000000000EABFC0   (0x15)   VM_OP_InvalidOpcode_Handler
0x000000000204AA70 => 0x0000000000EABFC0   (0x16)   VM_OP_InvalidOpcode_Handler
0x000000000204AA78 => 0x0000000000EABFC0   (0x17)   VM_OP_InvalidOpcode_Handler
0x000000000204AA80 => 0x0000000000EABFC0   (0x18)   VM_OP_InvalidOpcode_Handler
0x000000000204AA88 => 0x0000000000E8C000   (0x19)   0000000000E8C000
0x000000000204AA90 => 0x0000000000E89FF0   (0x1A)   VM_OP_GetSelf_Handler
0x000000000204AA98 => 0x0000000000E80010   (0x1B)   VM_OP_GetZero_Handler
0x000000000204AAA0 => 0x0000000000EABFC0   (0x1C)   VM_OP_InvalidOpcode_Handler
0x000000000204AAA8 => 0x0000000000E89FF0   (0x1D)   VM_OP_GetSelf_Handler
0x000000000204AAB0 => 0x0000000000EABFC0   (0x1E)   VM_OP_InvalidOpcode_Handler
0x000000000204AAB8 => 0x0000000000E8DA20   (0x1F)   VM_OP_AddToArray_Handler
0x000000000204AAC0 => 0x0000000000E8BC60   (0x20)   VM_OP_SizeOf_Handler
0x000000000204AAC8 => 0x0000000000E7DFB0   (0x21)   VM_OP_Bit_And_Handler
0x000000000204AAD0 => 0x0000000000EABFC0   (0x22)   VM_OP_InvalidOpcode_Handler
0x000000000204AAD8 => 0x0000000000EABFC0   (0x23)   VM_OP_InvalidOpcode_Handler
0x000000000204AAE0 => 0x0000000000E81110   (0x24)   VM_OP_Jump_Handler
0x000000000204AAE8 => 0x0000000000E7F6C0   (0x25)   VM_OP_Minus_Handler
0x000000000204AAF0 => 0x0000000000E8B360   (0x26)   VM_OP_EvalFieldVariableOnStackRef_Handler
0x000000000204AAF8 => 0x0000000000EABFC0   (0x27)   VM_OP_InvalidOpcode_Handler
0x000000000204AB00 => 0x0000000000E81690   (0x28)   VM_OP_JumpOnGreaterThan_Handler
0x000000000204AB08 => 0x0000000000E81660   (0x29)   VM_OP_EndSwitch_Handler
0x000000000204AB10 => 0x0000000000E83600   (0x2A)   VM_OP_ScriptFunctionCallPointer_Handler
0x000000000204AB18 => 0x0000000000EABFC0   (0x2B)   VM_OP_InvalidOpcode_Handler
0x000000000204AB20 => 0x0000000000E8C000   (0x2C)   0000000000E8C000
0x000000000204AB28 => 0x0000000000E7FBF0   (0x2D)   VM_OP_CastCanon_Handler
0x000000000204AB30 => 0x0000000000EABFC0   (0x2E)   VM_OP_InvalidOpcode_Handler
0x000000000204AB38 => 0x0000000000E801A0   (0x2F)   VM_OP_GetFloat_Handler
0x000000000204AB40 => 0x0000000000EABFC0   (0x30)   VM_OP_InvalidOpcode_Handler
0x000000000204AB48 => 0x0000000000E81D40   (0x31)   0000000000E81D40
0x000000000204AB50 => 0x0000000000E80010   (0x32)   VM_OP_GetZero_Handler
0x000000000204AB58 => 0x0000000000EABFC0   (0x33)   VM_OP_InvalidOpcode_Handler
0x000000000204AB60 => 0x0000000000E84720   (0x34)   0000000000E84720
0x000000000204AB68 => 0x0000000000EABFC0   (0x35)   VM_OP_InvalidOpcode_Handler
0x000000000204AB70 => 0x0000000000E848E0   (0x36)   0000000000E848E0
0x000000000204AB78 => 0x0000000000EABFC0   (0x37)   VM_OP_InvalidOpcode_Handler
0x000000000204AB80 => 0x0000000000E80030   (0x38)   VM_OP_GetByte_Handler
0x000000000204AB88 => 0x0000000000EABFC0   (0x39)   VM_OP_InvalidOpcode_Handler
0x000000000204AB90 => 0x0000000000EABFC0   (0x3A)   VM_OP_InvalidOpcode_Handler
0x000000000204AB98 => 0x0000000000EABFC0   (0x3B)   VM_OP_InvalidOpcode_Handler
0x000000000204ABA0 => 0x0000000000EABFC0   (0x3C)   VM_OP_InvalidOpcode_Handler
0x000000000204ABA8 => 0x0000000000E819E0   (0x3D)   0000000000E819E0
0x000000000204ABB0 => 0x0000000000E8E220   (0x3E)   0000000000E8E220
0x000000000204ABB8 => 0x0000000000E8DD10   (0x3F)   VM_OP_FirstArrayKeyCached_Handler
0x000000000204ABC0 => 0x0000000000EABFC0   (0x40)   VM_OP_InvalidOpcode_Handler
0x000000000204ABC8 => 0x0000000000E8A140   (0x41)   VM_OP_EvalArray_Handler
0x000000000204ABD0 => 0x0000000000E80080   (0x42)   VM_OP_GetUnsignedShort_Handler
0x000000000204ABD8 => 0x0000000000EABFC0   (0x43)   VM_OP_InvalidOpcode_Handler
0x000000000204ABE0 => 0x0000000000E8A140   (0x44)   VM_OP_EvalArray_Handler
0x000000000204ABE8 => 0x0000000000EABFC0   (0x45)   VM_OP_InvalidOpcode_Handler
0x000000000204ABF0 => 0x0000000000E810B0   (0x46)   VM_OP_JumpOnTrueExpr_Handler
0x000000000204ABF8 => 0x0000000000E80540   (0x47)   VM_OP_VectorConstant_Handler
0x000000000204AC00 => 0x0000000000EABFC0   (0x48)   VM_OP_InvalidOpcode_Handler
0x000000000204AC08 => 0x0000000000E941C0   (0x49)   0000000000E941C0
0x000000000204AC10 => 0x0000000000E80140   (0x4A)   VM_OP_GetUintptr_Handler
0x000000000204AC18 => 0x0000000000E90130   (0x4B)   0000000000E90130
0x000000000204AC20 => 0x0000000000E84720   (0x4C)   0000000000E84720
0x000000000204AC28 => 0x0000000000E8FEB0   (0x4D)   VM_OP_SetVariableFieldRef_Handler
0x000000000204AC30 => 0x0000000000EABFC0   (0x4E)   VM_OP_InvalidOpcode_Handler
0x000000000204AC38 => 0x0000000000EABFC0   (0x4F)   VM_OP_InvalidOpcode_Handler
0x000000000204AC40 => 0x0000000000E8C6D0   (0x50)   VM_OP_GetTime_Handler
0x000000000204AC48 => 0x0000000000E81170   (0x51)   VM_OP_DevblockBegin_Handler
0x000000000204AC50 => 0x0000000000E8A6F0   (0x52)   VM_OP_ClearArray_Handler
0x000000000204AC58 => 0x0000000000E96F40   (0x53)   VM_OP_Notify_Handler
0x000000000204AC60 => 0x0000000000E7FFF0   (0x54)   VM_OP_GetUndefined_Handler
0x000000000204AC68 => 0x0000000000EABFC0   (0x55)   VM_OP_InvalidOpcode_Handler
0x000000000204AC70 => 0x0000000000EABFC0   (0x56)   VM_OP_InvalidOpcode_Handler
0x000000000204AC78 => 0x0000000000E81170   (0x57)   VM_OP_DevblockBegin_Handler
0x000000000204AC80 => 0x0000000000EABFC0   (0x58)   VM_OP_InvalidOpcode_Handler
0x000000000204AC88 => 0x0000000000E837E0   (0x59)   VM_OP_ScriptFunctionCallClass_Handler
0x000000000204AC90 => 0x0000000000E80170   (0x5A)   VM_OP_GetInteger_Handler
0x000000000204AC98 => 0x0000000000EABFC0   (0x5B)   VM_OP_InvalidOpcode_Handler
0x000000000204ACA0 => 0x0000000000EABFC0   (0x5C)   VM_OP_InvalidOpcode_Handler
0x000000000204ACA8 => 0x0000000000EABFC0   (0x5D)   VM_OP_InvalidOpcode_Handler
0x000000000204ACB0 => 0x0000000000EABFC0   (0x5E)   VM_OP_InvalidOpcode_Handler
0x000000000204ACB8 => 0x0000000000EABFC0   (0x5F)   VM_OP_InvalidOpcode_Handler
0x000000000204ACC0 => 0x0000000000E8CB20   (0x60)   0000000000E8CB20
0x000000000204ACC8 => 0x0000000000E8B270   (0x61)   VM_OP_EvalFieldVariableOnStack_Handler
0x000000000204ACD0 => 0x0000000000E93B00   (0x62)   VM_OP_Wait_Handler
0x000000000204ACD8 => 0x0000000000EABFC0   (0x63)   VM_OP_InvalidOpcode_Handler
0x000000000204ACE0 => 0x0000000000E8C740   (0x64)   0000000000E8C740
0x000000000204ACE8 => 0x0000000000E843E0   (0x65)   0000000000E843E0
0x000000000204ACF0 => 0x0000000000E819E0   (0x66)   0000000000E819E0
0x000000000204ACF8 => 0x0000000000E7FBF0   (0x67)   VM_OP_CastCanon_Handler
0x000000000204AD00 => 0x0000000000E80110   (0x68)   VM_OP_GetNegUnsignedInteger_Handler
0x000000000204AD08 => 0x0000000000EABFC0   (0x69)   VM_OP_InvalidOpcode_Handler
0x000000000204AD10 => 0x0000000000E84DF0   (0x6A)   0000000000E84DF0
0x000000000204AD18 => 0x0000000000EABFC0   (0x6B)   VM_OP_InvalidOpcode_Handler
0x000000000204AD20 => 0x0000000000E8D990   (0x6C)   VM_OP_GetEmptyArray_Handler
0x000000000204AD28 => 0x0000000000EABFC0   (0x6D)   VM_OP_InvalidOpcode_Handler
0x000000000204AD30 => 0x0000000000E8B320   (0x6E)   VM_OP_EvalFieldVariableRef_Handler
0x000000000204AD38 => 0x0000000000E7FBF0   (0x6F)   VM_OP_CastCanon_Handler
0x000000000204AD40 => 0x0000000000EABFC0   (0x70)   VM_OP_InvalidOpcode_Handler
0x000000000204AD48 => 0x0000000000EABFC0   (0x71)   VM_OP_InvalidOpcode_Handler
0x000000000204AD50 => 0x0000000000E8D800   (0x72)   VM_OP_AddToStruct_Handler
0x000000000204AD58 => 0x0000000000E80170   (0x73)   VM_OP_GetInteger_Handler
0x000000000204AD60 => 0x0000000000EABFC0   (0x74)   VM_OP_InvalidOpcode_Handler
0x000000000204AD68 => 0x0000000000EABFC0   (0x75)   VM_OP_InvalidOpcode_Handler
0x000000000204AD70 => 0x0000000000E7E110   (0x76)   VM_OP_SuperNotEqual_Handler
0x000000000204AD78 => 0x0000000000EABFC0   (0x77)   VM_OP_InvalidOpcode_Handler
0x000000000204AD80 => 0x0000000000EABFC0   (0x78)   VM_OP_InvalidOpcode_Handler
0x000000000204AD88 => 0x0000000000EABFC0   (0x79)   VM_OP_InvalidOpcode_Handler
0x000000000204AD90 => 0x0000000000E81D40   (0x7A)   0000000000E81D40
0x000000000204AD98 => 0x0000000000E83AF0   (0x7B)   VM_OP_ScriptMethodCallPointer_Handler
0x000000000204ADA0 => 0x0000000000E8BB60   (0x7C)   VM_OP_CastFieldObject_Handler
0x000000000204ADA8 => 0x0000000000E800B0   (0x7D)   VM_OP_GetNegUnsignedShort_Handler
0x000000000204ADB0 => 0x0000000000EABFC0   (0x7E)   VM_OP_InvalidOpcode_Handler
0x000000000204ADB8 => 0x0000000000E803D0   (0x7F)   VM_OP_GetVector_Handler
0x000000000204ADC0 => 0x0000000000E801D0   (0x80)   VM_OP_GetString_Handler
0x000000000204ADC8 => 0x0000000000EABFC0   (0x81)   VM_OP_InvalidOpcode_Handler
0x000000000204ADD0 => 0x0000000000E902A0   (0x82)   VM_OP_EvalLocalVariableDefined_Handler
0x000000000204ADD8 => 0x0000000000EABFC0   (0x83)   VM_OP_InvalidOpcode_Handler
0x000000000204ADE0 => 0x0000000000EABFC0   (0x84)   VM_OP_InvalidOpcode_Handler
0x000000000204ADE8 => 0x0000000000E8FFD0   (0x85)   VM_OP_EvalSelfFieldVariable_Handler
0x000000000204ADF0 => 0x0000000000E8A0C0   (0x86)   VM_OP_GetFunction_Handler
0x000000000204ADF8 => 0x0000000000E8FFD0   (0x87)   VM_OP_EvalSelfFieldVariable_Handler
0x000000000204AE00 => 0x0000000000E8FFD0   (0x88)   VM_OP_EvalSelfFieldVariable_Handler
0x000000000204AE08 => 0x0000000000EABFC0   (0x89)   VM_OP_InvalidOpcode_Handler
0x000000000204AE10 => 0x0000000000E801A0   (0x8A)   VM_OP_GetFloat_Handler
0x000000000204AE18 => 0x0000000000EABFC0   (0x8B)   VM_OP_InvalidOpcode_Handler
0x000000000204AE20 => 0x0000000000EABFC0   (0x8C)   VM_OP_InvalidOpcode_Handler
0x000000000204AE28 => 0x0000000000E8FFD0   (0x8D)   VM_OP_EvalSelfFieldVariable_Handler
0x000000000204AE30 => 0x0000000000E7FF60   (0x8E)   VM_OP_BoolNot_Handler
0x000000000204AE38 => 0x0000000000E7E2B0   (0x8F)   VM_OP_ShiftLeft_Handler
0x000000000204AE40 => 0x0000000000EABFC0   (0x90)   VM_OP_InvalidOpcode_Handler
0x000000000204AE48 => 0x0000000000E80140   (0x91)   VM_OP_GetUintptr_Handler
0x000000000204AE50 => 0x0000000000E8D800   (0x92)   VM_OP_AddToStruct_Handler
0x000000000204AE58 => 0x0000000000E8E830   (0x93)   0000000000E8E830
0x000000000204AE60 => 0x0000000000E89EB0   (0x94)   VM_OP_ProfileStop_Handler
0x000000000204AE68 => 0x0000000000E7E270   (0x95)   VM_OP_GreaterThanOrEqualTo_Handler
0x000000000204AE70 => 0x0000000000EABFC0   (0x96)   VM_OP_InvalidOpcode_Handler
0x000000000204AE78 => 0x0000000000EABFC0   (0x97)   VM_OP_InvalidOpcode_Handler
0x000000000204AE80 => 0x0000000000EABFC0   (0x98)   VM_OP_InvalidOpcode_Handler
0x000000000204AE88 => 0x0000000000E7DFB0   (0x99)   VM_OP_Bit_And_Handler
0x000000000204AE90 => 0x0000000000EABFC0   (0x9A)   VM_OP_InvalidOpcode_Handler
0x000000000204AE98 => 0x0000000000EABFC0   (0x9B)   VM_OP_InvalidOpcode_Handler
0x000000000204AEA0 => 0x0000000000E8A170   (0x9C)   VM_OP_EvalArrayRef_Handler
0x000000000204AEA8 => 0x0000000000E8B270   (0x9D)   VM_OP_EvalFieldVariableOnStack_Handler
0x000000000204AEB0 => 0x0000000000E80080   (0x9E)   VM_OP_GetUnsignedShort_Handler
0x000000000204AEB8 => 0x0000000000E80540   (0x9F)   VM_OP_VectorConstant_Handler
0x000000000204AEC0 => 0x0000000000E7E060   (0xA0)   VM_OP_SuperEqual_Handler
0x000000000204AEC8 => 0x0000000000E7F7F0   (0xA1)   VM_OP_Multiply_Handler
0x000000000204AED0 => 0x0000000000E8E150   (0xA2)   VM_OP_EvalGlobalObjectFieldVariable_Handler
0x000000000204AED8 => 0x0000000000E80030   (0xA3)   VM_OP_GetByte_Handler
0x000000000204AEE0 => 0x0000000000EABFC0   (0xA4)   VM_OP_InvalidOpcode_Handler
0x000000000204AEE8 => 0x0000000000E81D30   (0xA5)   0000000000E81D30
0x000000000204AEF0 => 0x0000000000EABFC0   (0xA6)   VM_OP_InvalidOpcode_Handler
0x000000000204AEF8 => 0x0000000000E8BB60   (0xA7)   VM_OP_CastFieldObject_Handler
0x000000000204AF00 => 0x0000000000E80400   (0xA8)   VM_OP_Vector_Handler
0x000000000204AF08 => 0x0000000000E81D30   (0xA9)   0000000000E81D30
0x000000000204AF10 => 0x0000000000EABFC0   (0xAA)   VM_OP_InvalidOpcode_Handler
0x000000000204AF18 => 0x0000000000E809D0   (0xAB)   VM_OP_JumpOnFalse_Handler
0x000000000204AF20 => 0x0000000000E7FBF0   (0xAC)   VM_OP_CastCanon_Handler
0x000000000204AF28 => 0x0000000000E810B0   (0xAD)   VM_OP_JumpOnTrueExpr_Handler
0x000000000204AF30 => 0x0000000000EABFC0   (0xAE)   VM_OP_InvalidOpcode_Handler
0x000000000204AF38 => 0x0000000000E834A0   (0xAF)   VM_OP_ScriptFunctionCall_Handler
0x000000000204AF40 => 0x0000000000EABFC0   (0xB0)   VM_OP_InvalidOpcode_Handler
0x000000000204AF48 => 0x0000000000E8A090   (0xB1)   VM_OP_GetAPIFunction_Handler
0x000000000204AF50 => 0x0000000000E81170   (0xB2)   VM_OP_DevblockBegin_Handler
0x000000000204AF58 => 0x0000000000E90130   (0xB3)   0000000000E90130
0x000000000204AF60 => 0x0000000000EABFC0   (0xB4)   VM_OP_InvalidOpcode_Handler
0x000000000204AF68 => 0x0000000000EABFC0   (0xB5)   VM_OP_InvalidOpcode_Handler
0x000000000204AF70 => 0x0000000000E8B3C0   (0xB6)   VM_OP_ClearFieldVariableOnStack_Handler
0x000000000204AF78 => 0x0000000000E8FFD0   (0xB7)   VM_OP_EvalSelfFieldVariable_Handler
0x000000000204AF80 => 0x0000000000EABFC0   (0xB8)   VM_OP_InvalidOpcode_Handler
